MEMNAME,APPLICATION,GROUP_NAME,MESSAGE,HANDLED,JOB_NAME,SEVERITY,ORDER_ID,USER_ID,NODE_ID,HOST_TIME,CHANGED_BY,UPD_TIME,NOTES,DATA_CENTER,SERIAL,TYPE,CLOSED_FROM_EM,TICKET_NUMBER,RUN_COUNTER,REMEDY_PROFILE
 ,03E4.EDW-정보계ETT,EG1.시장금리정보생성,Ended not OK,0,ggz08b.ett,V,28w71,edwetl,hqit-etl03,2020/08/07 01:02:03,,,,pctmla01,4020,R,,,1,
 ,03E2.EDW-기간계ETT,ER2.입출금_대외연계,Ended not OK,0,seb35b.ett,V,28t0u,edwetl,hqit-etl03,2020/08/07 01:17:42,,,,pctmla01,4023,R,,,1,
SPBM0148.sh,01A1.기간계-장마감,SP54.펀드자료생성,Ended not OK,0,SPBM0148_S10,V,299gt,hdpfm,pcua01,2020/08/07 17:28:54,,,,pctmla01,4026,R,,,1,
srb40b.ett,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srb40b.ett,V,299fw,edwetl,hqit-etl03,2020/08/08 01:10:37,,,,pctmla01,4032,R,,,1,
ALBD0003.sh,01F1.기간계-장시작전,AL1.회계관리원장,Ended not OK,0,ALBD0003_S01,V,29433,hdpfm,pcua02,2020/08/08 06:00:01,,,,pctmla01,4034,R,,,1,
IZBD5940.sh,01F1.기간계-장시작전,IZ01.상품공통,Ended not OK,0,IZBD5940_S01,V,299m6,hdpfm,pcua02,2020/08/08 07:00:01,,,,pctmla01,4035,R,,,1,
each_run_4CNTR_M.sh,02F1.정보계-장시작전,NS1.대외보고배치,Ended not OK,0,INSTD_RSPNSBT_LIST_09,V,298tj,ereport,hdaml,2020/08/08 07:31:10,,,,pctmla01,4036,R,,,1,
 ,03E4.EDW-정보계ETT,EC3.고객공통접촉,Ended not OK,0,cca12b.ett,V,29ofe,edwetl,hqit-etl03,2020/08/09 01:08:27,,,,pctmla01,4039,R,,,1,
ydm01b.ett,03F1.EDW-장시작전,DY1.ablePoint,Ended not OK,0,ydm01b.ett,V,2a07q,edwetl,hqit-etl03,2020/08/10 01:03:29,,,,pctmla01,4045,R,,,1,
 ,03E2.EDW-기간계ETT,ES3.매매_파생상품,Ended not OK,0,sfd05b.ett,V,29ruw,edwetl,hqit-etl03,2020/08/10 01:07:25,,,,pctmla01,4046,R,,,1,
sfu05b.ett,03E2.EDW-기간계ETT,ES3.매매_파생상품,Ended not OK,0,sfu05b.ett,V,29ryg,edwetl,hqit-etl03,2020/08/10 01:09:22,,,,pctmla01,4048,R,,,1,
SPBD0281.sh,01A1.기간계-장마감,SP3.기타매매일괄매수,Ended not OK,0,SPBD0281_S01,V,2abdd,hdpfm,pcua01,2020/08/10 16:33:05,,,,pctmla01,4054,R,,,1,
SPBD0281.sh,01A1.기간계-장마감,SP3.기타매매일괄매수,Ended not OK,0,SPBD0281_S01,V,2abdd,hdpfm,pcua01,2020/08/10 16:37:02,,,,pctmla01,4055,R,,,2,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S06,V,2a86j,hdpfm,pcua02,2020/08/10 17:05:30,,,,pctmla01,4062,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S04,V,2a86h,hdpfm,pcua01,2020/08/10 17:05:37,,,,pctmla01,4063,R,,,1,
 ,03E2.EDW-기간계ETT,EA1.대고객_계좌,Ended not OK,0,sas61b.ett,V,2a8yw,edwetl,hqit-etl03,2020/08/11 01:04:01,,,,pctmla01,4073,R,,,1,
 ,03E2.EDW-기간계ETT,EA1.대고객_계좌,Ended not OK,0,saa20b.ett,V,2a8y1,edwetl,hqit-etl03,2020/08/11 01:04:11,,,,pctmla01,4074,R,,,1,
 ,03E2.EDW-기간계ETT,ES3.매매_파생상품,Ended not OK,0,sfd84b.ett,V,2a3h7,edwetl,hqit-etl03,2020/08/11 01:16:01,,,,pctmla01,4076,R,,,1,
 ,03F1.EDW-장시작전,CM1.CMP-마스터,Ended not OK,0,kap11b0.btq,V,2a7z7,mapuser,pela01,2020/08/11 06:03:39,,,,pctmla01,4077,R,,,1,
 ,03E4.EDW-정보계ETT,EC2.고객분석,Ended not OK,0,cab03b.ett,V,2aeor,edwetl,hqit-etl03,2020/08/12 01:03:54,,,,pctmla01,4089,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S10,V,2a86l,hdpfm,pcua02,2020/08/10 17:05:23,,,,pctmla01,4060,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbe11b.ett,V,2alia,edwetl,hqit-etl03,2020/08/12 01:08:54,,,,pctmla01,4090,R,,,1,
 ,03E2.EDW-기간계ETT,ES4.매매_여신거래,Ended not OK,0,sll91b.ett,V,2af0b,edwetl,hqit-etl03,2020/08/12 01:16:59,,,,pctmla01,4091,R,,,1,
 ,03E2.EDW-기간계ETT,EZ1.조건_코드,Ended not OK,0,szz64b.ett,V,2amgt,edwetl,hqit-etl03,2020/08/12 01:24:25,,,,pctmla01,4092,R,,,1,
swr90b.ett,03E2.EDW-기간계ETT,ER1.입출금,Ended not OK,0,swr90b.ett,V,2avq3,edwetl,hqit-etl03,2020/08/13 01:02:34,,,,pctmla01,4100,R,,,1,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/06 14:06:49,,,,pctmla01,4017,R,,,0,
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,28yb4,hdpfm,pcua02,2020/08/06 22:00:00,,,,pctmla01,4018,R,,,1,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/08/07 13:00:09,,,,pctmla01,4024,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/07 14:06:59,,,,pctmla01,4025,R,,,0,
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,299vb,hdpfm,pcua02,2020/08/07 22:00:00,,,,pctmla01,4028,R,,,1,
SPBD0201.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0201_S03이 시작 임계치를 초과 했습니다.,0,SPBD0201_S03,V,298o5,hdpfm,PCUA,2020/08/07 22:15:00,,,,pctmla01,4029,R,,,0,
SPBD0275.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0275_S02이 시작 임계치를 초과 했습니다.,0,SPBD0275_S02,V,298o7,hdpfm,PCUA,2020/08/07 22:15:00,,,,pctmla01,4030,R,,,0,
SPBD0271.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0271_S02이 시작 임계치를 초과 했습니다.,0,SPBD0271_S02,V,298o6,hdpfm,PCUA,2020/08/07 22:15:00,,,,pctmla01,4031,R,,,0,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/08/08 13:00:09,,,,pctmla01,4037,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/08 14:05:39,,,,pctmla01,4038,R,,,0,
dummy,03F1.EDW-장시작전,NV2.대시보드,03F1_NV2_DE이 종료 임계치를 초과 했습니다.,0,03F1_NV2_DE,V,29mbo,ctmagt9,PELA01,2020/08/09 10:00:00,,,,pctmla01,4041,R,,,0,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/08/09 13:00:09,,,,pctmla01,4042,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/09 14:05:39,,,,pctmla01,4043,R,,,0,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/08/10 13:00:09,,,,pctmla01,4052,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/10 14:06:59,,,,pctmla01,4053,R,,,0,
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,2a8jk,hdpfm,pcua02,2020/08/10 22:00:00,,,,pctmla01,4068,R,,,1,
 ,01A1.기간계-장마감,SS1.장내채권체결대사,SSBD0003_S01이 종료 임계치를 초과 했습니다.,0,SSBD0003_S01,V,2auh8,hdpfm,pcua01,2020/08/12 16:00:02,,,,pctmla01,4095,R,,,1,
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,2avny,hdpfm,pcua01,2020/08/12 22:00:01,,,,pctmla01,4096,R,,,1,
SPBD0275.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0275_S02이 시작 임계치를 초과 했습니다.,0,SPBD0275_S02,V,2augu,hdpfm,PCUA,2020/08/12 22:15:00,,,,pctmla01,4097,R,,,0,
SPBD0271.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0271_S02이 시작 임계치를 초과 했습니다.,0,SPBD0271_S02,V,2augt,hdpfm,PCUA,2020/08/12 22:15:00,,,,pctmla01,4098,R,,,0,
SPBD0201.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0201_S03이 시작 임계치를 초과 했습니다.,0,SPBD0201_S03,V,2augs,hdpfm,PCUA,2020/08/12 22:15:00,,,,pctmla01,4099,R,,,0,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/08/13 13:00:09,,,,pctmla01,4106,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/08/13 14:07:09,,,,pctmla01,4107,R,,,0,
